id	description	section	req	max_loop	max_usage	pos
M10	Manifest Identifying Information	H	M	0	1	1
P4	Port Information	H	M	20	1	2
M14	General Order Status Information	H	M	9999	1	3
K1	Remarks	H	O	0	4	4
