id	description	section	req	max_loop	max_usage	pos
AK1	Functional Group Response Header	H	M	0	1	1
AK2	Transaction Set Response Header	H	O	999999	1	2
IK3	Implementation Data Segment Note	H	O	999999	1	3
CTX	Context	H	O	0	10	4
IK4	Implementation Data Element Note	H	O	999999	1	5
CTX	Context	H	O	0	10	6
IK5	Implementation Transaction Set Response Trailer	H	M	0	1	7
AK9	Functional Group Response Trailer	H	M	0	1	8
