id	description	section	req	max_loop	max_usage	pos
BMM	Beginning Segment For Multilevel Railcar Load Details Transaction	H	M	0	1	1
G62	Date/Time	H	M	0	1	2
N7	Equipment Details	H	M	0	1	3
VC	Motor Vehicle Control	H	O	0	21	4
