ref	id	req	type	min	max	elementname
ACK01	668	M	ID	2	2	Line Item Status Code
ACK02	380	X	R	1	15	Quantity
ACK03	355	X	ID	2	2	Unit or Basis for Measurement Code
ACK04	
ACK05	
ACK06	
ACK07	235	X	ID	2	2	Product/Service ID Qualifier
ACK08	234	X	AN	1	48	Product/Service ID
ACK09	235	X	ID	2	2	Product/Service ID Qualifier
ACK10	234	X	AN	1	48	Product/Service ID
