id	definition
M	If one or more segments of a given segment definition contain this element indicating a '-' value, rate application is denied upon satisfaction of any one of these segments, so indicated; In the event that rate restrictions on two segments of similar definition are satisfied, one segment containing this element indicating a '+' value and the other segment indicating a '-', rate application is denied. In other words, a minus takes precedence over a plus.
P	If one or more segments of a given segment definition contain this element indicating a '+' value, rate application requires satisfaction of the restriction stated on at least one of those segments, so indicated; In the event that rate restrictions on two segments of similar definition are satisfied, one segment containing this element indicating a '+' value and the other segment indicating a '-', rate application is denied. In other words, a minus takes precedence over a plus.
