id	definition
1	Control Efficiency
2	Capture Efficiency
3	Photonflux Density
4	Throughput Rate
5	Cloud Cover
6	Velocity
7	Plume Height
8	Individuals
A	Consolidated Weight
B	Billed Weight
C	Actual New Repeated for Combination
D	Destination Weight Agreement
E	Estimated New Weight
F	Deficit Weight
G	Gross Weight
I	Heat Input
L	Legal Weight
M	Minimum Weight (for Weight)
N	Actual Net Weight
O	Excess Weight Over Maximum
Q	Volatile Organic Compounds Plus Water
R	Per Unit Dunnage
S	State Weight
T	Tare Weight
U	Weight per Unit
X	Maximum Weight (for Rate)
10	Painting Costs
11	Structural Costs
12	Appliances
13	Utilities
14	Carpet or Floors
15	Other Repairs
16	Landscaping
18	Roof
19	Windows
1F	Radio Frequency
20	Cleaning or Trash Removal
21	Probable Sales Price
22	Proximity
23	Repairs and Improvements
24	Contributory Value of Repairs and Improvements
25	Marketing Time
26	Closed Comparable Sales
27	Competitive Listings in Price Range
28	Financing Concessions
29	Marketing Concessions
2F	Alternate Radio Frequency
30	Probable Net Price
31	Suggested Initial List Price
32	Value Change
33	Probable Final Value
34	Occupancy Rate
35	Number of Living Units
36	Number of Phases
37	Number of Active Listings
38	Price Active Listings
39	Marketing Time
3A	Target Depth
3B	Current Depth
3C	Total Depth
3D	Well Test Before Oil
3E	Well Test Before Gas
3F	Well Test Before Water
3G	Well Test After Oil
3H	Well Test After Gas
3I	Well Test After Water
3J	Estimated Depth of Operations
40	Price Per Gross Living Area
41	Built-up Rate
42	Vacant Rate
43	Typical Rents
44	Neighborhood Apartment Vacancy
4F	Squelch Tone
5F	Height above Ground
6F	Gain
8F	Directional Height above Average Terrain
A1	Acids
A2	Adsorption
A3	Aging Time
A4	Aromatics
A5	Average Differential Pressure
A6	Average Static Pressure
A7	Flame Projection Distance
A9	Exposure
AA	Alternating Current
AB	Activation Energy
AC	Actinium
AD	Ambient Temperature
AE	Argon
AF	Angle of Bend
AG	Americium
AH	Astatine
AI	Acidity
AJ	Aim Gage
AK	Volatile Organic Compounds (VOCs)
AL	Spine Show
AM	Average Speed
AN	Flute Test
AP	Average Pressure
AS	Ash Fusion Temperature
AT	Additive
AU	Number of Units Projected
AV	Age
AW	Remaining Economic Life
AX	Remaining Physical Life
AY	Number of Comparable Sales
AZ	Arbor Size
