id	definition
A	Temporarily Articulated Load
B	Straight Plan
C	Average Agreement
D	Switch Bill
E	Storage
F	Detention
G	Store in Transit
H	For Furtherance of Transit
J	Flat Car Composite Billing
M	Multiple Shipment Billing
P	Paired Trailer Shipment
Q	Multi-car Transit
R	Rule 24 Lead and Trailer Equipment on Single Revenue Bill
S	Single Shipment Billing
T	Transit Billing
U	Unit Train Billing
V	Normal Bill of Lading
W	Negotiable Bill of Lading
X	Straight Consignment Bill of Lading
Y	Route Code Bill of Lading
