id	definition
1	Europe
2	Hotel Zone
3	Mediterranean
4	North Africa
5	Pacific
6	South East Asia
7	Southern Africa
8	Urban Area
A	Industrial Area
B	Market
C	Residential Area
D	Suburban Area
E	Rural Area
F	Central Business Area
G	North America
H	State or Province
I	International
J	Africa
K	Americas
L	Local
M	Metropolitan Area
N	National
O	Archeological Zone
P	Asia
Q	Atlantic
R	Regional
S	Shopping Center
T	Benelux
U	Caribbean
V	Central America
W	Central Asia
X	Commercial Zone
Y	Eastern Europe
Z	Mutually Defined
