id	definition
4	46 Level DOT Code
6	Airline Tariff 6D
9	Title 49, Code of Federal Regulations (CFR)
A	International Civil Aviation Organization (ICAO) Code
C	Storage Compatibility Group
D	Hazardous Materials ID, DOT
E	Endorsement
F	Air Force Joint Manual 24-204
I	Intergovernmental Maritime Organization (IMO) Code
R	Bureau of Explosives (BOE) 6000 Tariff
T	International Air Transport Association Dangerous Goods Code List
U	United Nations
X	Hazard Class or Division
