id	definition
AR	Appurtenance (Enhancements/Additions to Equipment)
BA	Barrels
BX	Box
CC	Cubic Centimeter
CF	Cubic Foot
CM	Centimeter
DK	Kilometers
DM	Miles
DR	Drivers
EA	Each
FR	Flat Rate
FT	Foot
GC	100 Gallons
GL	Gallon
KG	Kilogram
LB	Pound
LC	100 Pounds
LH	100 Liters
LR	Liter
MR	Mileage
MT	Measurement Ton
MV	Monetary Value
NB	Barge
NC	Car
ND	Cord
NG	Nights
NL	Load
NN	Train
NP	Piece
NR	Container
NT	Trailer
NU	Unit
NV	Vehicle
OR	Other
PK	Package
PR	Persons
RV	Release Value
SP	Stops
ST	Number of States
SY	Square Yards
TD	Days
TH	Hours
TN	Tons
TR	Time
VA	Actual Volume
VC	Chargeable Volume
VM	Volume Metric Unit
